gene_name,gene_length,nucleotide_overlap,median_coverage,mean_coverage,reads_mapped,num_nts_in_reads
chyd:H4K34_08780,1809,150,0.0,0.08236594803758983,1,150
chyd:H4K34_17495,1212,150,0.0,0.12293729372937294,1,150
chyd:H4K34_01250,993,150,0.0,0.1500503524672709,1,150
chyd:H4K34_08425,1020,150,0.0,0.14607843137254903,1,150
chyd:H4K34_16830,1476,150,0.0,0.10094850948509485,1,150
chyd:H4K34_12635,1440,150,0.0,0.10347222222222222,1,150
chyd:H4K34_11855,984,8,0.0,0.007113821138211382,1,8
chyd:H4K34_06635,2823,150,0.0,0.052780729720155864,1,150
chyd:H4K34_15085,1200,150,0.0,0.12416666666666666,1,150
chyd:H4K34_01735,1044,150,0.0,0.14272030651340997,1,150
chyd:H4K34_05210,3468,300,0.0,0.08592848904267589,2,300
chyd:H4K34_16165,1593,150,0.0,0.09353421217827998,1,150
chyd:H4K34_00865,1356,130,0.0,0.09513274336283185,1,130
chyd:H4K34_00870,762,24,0.0,0.030183727034120734,1,24
chyd:H4K34_15765,660,150,0.0,0.22575757575757577,1,150
chyd:H4K34_17800,4368,150,0.0,0.03411172161172161,1,150
chyd:H4K34_16850,966,150,0.0,0.15424430641821946,1,150
chyd:H4K34_15745,1239,107,0.0,0.08555286521388217,1,107
chyd:H4K34_15215,1104,150,0.0,0.13496376811594202,1,150
chyd:H4K34_03705,798,150,0.0,0.18671679197994986,1,150
chyd:H4K34_05215,1383,150,0.0,0.10773680404916848,1,150
chyd:H4K34_03240,2145,150,0.0,0.06946386946386947,1,150
chyd:H4K34_00055,1200,150,0.0,0.12416666666666666,1,150
chyd:H4K34_06255,1116,150,0.0,0.1335125448028674,1,150
chyd:H4K34_01890,1194,150,0.0,0.12479061976549413,1,150
chyd:H4K34_01240,1470,150,0.0,0.10136054421768707,1,150
chyd:H4K34_07535,576,150,0.0,0.2586805555555556,1,150
chyd:H4K34_13840,10581,85,0.0,0.00793875815140346,1,85
chyd:H4K34_08965,1659,150,0.0,0.08981314044605183,1,150
chyd:H4K34_09485,1542,150,0.0,0.0966277561608301,1,150
chyd:H4K34_17200,885,150,0.0,0.16836158192090395,1,150
chyd:H4K34_10255,4359,150,0.0,0.034182151869694886,1,150
chyd:H4K34_13325,354,150,0.0,0.4209039548022599,1,150
chyd:H4K34_10485,1962,150,0.0,0.07594291539245668,1,150
chyd:H4K34_09840,2262,150,0.0,0.0658709106984969,1,150
chyd:H4K34_15465,1941,150,0.0,0.07676455435342606,1,150
chyd:H4K34_02995,3795,150,0.0,0.039262187088274045,1,150
chyd:H4K34_02455,1029,12,0.0,0.010689990281827016,1,12
chyd:H4K34_03805,687,110,0.0,0.1586608442503639,1,110
chyd:H4K34_03810,1488,29,0.0,0.01881720430107527,1,29
chyd:H4K34_11625,942,150,0.0,0.15817409766454352,1,150
